                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.5295,                  1.791,                 1.6718,                0.42569,                 0.3345,                0.29302,                0.16022,                 1.9731,                 2.4713,                 2.2321,               0.006832,               0.006832,               0.006832
                     34,                  1.547,                 1.8011,                 1.6706,                0.41036,                0.32005,                0.28782,                0.15936,                  1.978,                 2.5554,                 2.2619,               0.006733,               0.006733,               0.006733
                     35,                 1.4963,                 1.7391,                 1.6321,                0.45304,                0.33346,                0.29969,                0.16125,                 2.0137,                 2.5326,                 2.2885,               0.006634,               0.006634,               0.006634
                     36,                 1.5039,                 1.7369,                 1.6422,                0.47542,                0.30624,                0.28948,                0.15404,                 1.9748,                 2.5976,                 2.2617,               0.006535,               0.006535,               0.006535
                     37,                 1.4733,                 1.6801,                  1.621,                0.55194,                0.32694,                0.32643,                0.18136,                 1.9553,                 2.4416,                 2.2271,               0.006436,               0.006436,               0.006436
                     38,                 1.4607,                 1.6835,                 1.6203,                 0.4531,                0.36079,                0.31979,                0.17391,                 1.9533,                 2.4933,                 2.2221,               0.006337,               0.006337,               0.006337
                     39,                 1.4645,                 1.6491,                 1.6108,                 0.4483,                0.31479,                0.30203,                0.15569,                 2.0465,                 2.5676,                  2.315,               0.006238,               0.006238,               0.006238
                     40,                 1.4459,                 1.6484,                 1.5993,                0.47857,                0.33521,                0.31792,                0.16646,                 1.9785,                 2.5613,                 2.2724,               0.006139,               0.006139,               0.006139
                     41,                 1.4353,                 1.6013,                 1.5809,                0.49339,                0.33049,                0.31674,                0.17542,                 2.0189,                 2.5201,                 2.3095,                0.00604,                0.00604,                0.00604
                     42,                 1.4408,                 1.6172,                 1.5752,                0.44839,                 0.3464,                0.31516,                0.16923,                 1.9931,                 2.4623,                 2.2494,               0.005941,               0.005941,               0.005941
                     43,                 1.4213,                 1.5835,                  1.572,                0.45196,                0.32334,                0.29161,                0.15496,                 2.0435,                 2.5455,                 2.2953,               0.005842,               0.005842,               0.005842
                     44,                 1.3943,                 1.5196,                 1.5471,                0.46886,                0.33375,                0.30604,                0.15948,                 1.9721,                 2.4457,                 2.2336,               0.005743,               0.005743,               0.005743
                     45,                 1.4007,                 1.5323,                 1.5519,                0.49639,                0.32057,                0.29912,                0.17353,                 1.9658,                 2.5092,                 2.2422,               0.005644,               0.005644,               0.005644
                     46,                 1.4069,                 1.5645,                 1.5677,                0.48426,                 0.3352,                0.31595,                0.17049,                 1.9604,                  2.486,                 2.2335,               0.005545,               0.005545,               0.005545
                     47,                 1.3775,                  1.468,                 1.5336,                0.46311,                0.31401,                0.29032,                0.16361,                   1.99,                 2.5106,                 2.2386,               0.005446,               0.005446,               0.005446
                     48,                 1.3636,                 1.4743,                 1.5183,                0.50175,                0.32456,                 0.3222,                0.18133,                 1.9776,                 2.4398,                 2.2523,               0.005347,               0.005347,               0.005347
                     49,                 1.3775,                  1.422,                 1.5179,                0.52611,                0.31108,                0.31838,                0.17168,                 1.9993,                 2.5242,                 2.2569,               0.005248,               0.005248,               0.005248
                     50,                 1.3268,                  1.411,                 1.5019,                0.46345,                 0.3227,                0.29944,                0.16817,                 2.0139,                 2.5482,                 2.3076,               0.005149,               0.005149,               0.005149
                     51,                 1.3424,                 1.3759,                 1.4939,                0.48153,                0.34205,                0.32567,                0.17692,                 2.0335,                 2.5172,                 2.2815,                0.00505,                0.00505,                0.00505
                     52,                 1.3257,                 1.3954,                 1.4984,                0.46762,                0.35427,                0.32309,                 0.1793,                 2.0107,                 2.5001,                  2.279,               0.004951,               0.004951,               0.004951
                     53,                 1.3107,                 1.3539,                 1.4859,                  0.455,                0.32943,                0.30632,                0.16714,                 2.0148,                 2.5007,                 2.2653,               0.004852,               0.004852,               0.004852
                     54,                 1.3226,                 1.3819,                 1.4878,                0.48678,                0.32569,                0.30917,                0.17344,                 1.9829,                 2.5761,                 2.2797,               0.004753,               0.004753,               0.004753
                     55,                 1.3053,                 1.3438,                 1.4777,                0.48187,                0.34587,                0.31257,                0.17731,                 1.9803,                 2.5054,                 2.2816,               0.004654,               0.004654,               0.004654
                     56,                 1.2895,                 1.3214,                 1.4712,                0.50765,                 0.3367,                0.30753,                0.16866,                 2.0147,                 2.5667,                 2.2937,               0.004555,               0.004555,               0.004555
                     57,                 1.2756,                 1.3042,                 1.4554,                0.49411,                0.33658,                0.32508,                0.17956,                 2.0069,                 2.5122,                 2.2899,               0.004456,               0.004456,               0.004456
                     58,                 1.2607,                 1.2775,                 1.4396,                0.49872,                0.34431,                0.32578,                0.17982,                 1.9793,                 2.5002,                 2.2473,               0.004357,               0.004357,               0.004357
                     59,                 1.2476,                 1.2469,                 1.4379,                0.45866,                 0.3527,                0.32199,                0.18051,                 1.9818,                 2.5039,                 2.2748,               0.004258,               0.004258,               0.004258
                     60,                 1.2522,                 1.2551,                 1.4304,                0.46974,                 0.3503,                0.31452,                0.17254,                 1.9757,                 2.4563,                 2.2633,               0.004159,               0.004159,               0.004159
                     61,                 1.2343,                 1.2342,                 1.4221,                0.55249,                 0.3239,                 0.3104,                0.16847,                  2.009,                 2.4994,                 2.2737,                0.00406,                0.00406,                0.00406
                     62,                 1.2213,                  1.199,                 1.4144,                 0.5165,                  0.333,                0.31578,                0.17012,                 2.0479,                 2.5367,                 2.3203,               0.003961,               0.003961,               0.003961
                     63,                 1.2269,                 1.2101,                 1.4187,                0.47651,                 0.3303,                0.31167,                0.17275,                 2.0163,                 2.6076,                 2.3133,               0.003862,               0.003862,               0.003862
                     64,                 1.2236,                 1.1981,                  1.397,                0.55294,                0.32016,                0.32179,                0.17958,                 1.9998,                 2.5381,                 2.3262,               0.003763,               0.003763,               0.003763
                     65,                 1.1913,                 1.1618,                 1.3849,                0.50846,                0.30863,                0.30588,                0.16232,                 2.0279,                 2.6117,                 2.3346,               0.003664,               0.003664,               0.003664
                     66,                 1.1811,                  1.131,                 1.3792,                 0.5334,                0.28843,                  0.288,                0.16066,                 2.0582,                  2.636,                 2.3391,               0.003565,               0.003565,               0.003565
                     67,                 1.1741,                 1.1388,                 1.3831,                0.45016,                0.33996,                0.29802,                0.16931,                 2.0221,                 2.5514,                 2.3281,               0.003466,               0.003466,               0.003466
                     68,                 1.1731,                 1.1288,                 1.3786,                0.52666,                 0.3268,                0.31447,                0.17793,                 2.0223,                  2.608,                 2.3212,               0.003367,               0.003367,               0.003367
                     69,                 1.1742,                  1.085,                 1.3684,                0.51833,                0.33567,                0.31092,                0.16656,                 2.0461,                 2.5744,                 2.3638,               0.003268,               0.003268,               0.003268
                     70,                 1.1548,                 1.0745,                 1.3398,                0.45865,                0.32926,                 0.2782,                0.14984,                  2.074,                 2.6712,                 2.3907,               0.003169,               0.003169,               0.003169
                     71,                 1.1213,                 1.0431,                 1.3329,                0.49744,                0.32437,                0.30026,                 0.1678,                 2.0787,                 2.6469,                 2.4006,                0.00307,                0.00307,                0.00307
                     72,                 1.1444,                 1.0645,                 1.3425,                0.45018,                0.33543,                0.28712,                0.15925,                 2.0758,                  2.618,                 2.3573,               0.002971,               0.002971,               0.002971
                     73,                 1.1128,                  1.053,                 1.3343,                0.52655,                0.31054,                  0.308,                0.16981,                  2.078,                 2.6162,                 2.3836,               0.002872,               0.002872,               0.002872
                     74,                 1.1049,                 1.0314,                 1.3184,                0.49814,                0.33247,                0.30248,                0.16781,                 2.0535,                 2.5707,                 2.3465,               0.002773,               0.002773,               0.002773
                     75,                 1.0933,                  1.021,                 1.3148,                0.47809,                0.34977,                0.30767,                 0.1689,                 2.0558,                 2.6179,                 2.3604,               0.002674,               0.002674,               0.002674
                     76,                 1.0848,                 1.0026,                 1.2996,                0.51032,                 0.3359,                0.31189,                0.17639,                  2.082,                 2.5714,                 2.3879,               0.002575,               0.002575,               0.002575
                     77,                 1.0945,                  1.004,                 1.3056,                0.49097,                 0.3347,                0.30001,                0.16498,                 2.1035,                 2.6785,                 2.4111,               0.002476,               0.002476,               0.002476
